nombre,apodo,foto,division,record,ultima_pelea
 Alexandre Pantoja,"""The Cannibal""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-10/2/PANTOJA_ALEXANDRE_BELT_05-04.png?itok=ocO1baNp,Peso mosca,28-5-0 (W-L-D),Alexandre Pantoja vs Steve Erceg
 Merab Dvalishvili,"""The Machine""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-10/2/DVALISHVILI_MERAB_BELT.png?itok=kS1ddM35,Peso gallo,18-4-0 (W-L-D),Sean O'Malley vs Merab Dvalishvili
 Ilia Topuria,"""El  Matador""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-11/TOPURIA_ILIA_BELT.png?itok=_5gXqlEB,Peso pluma,16-0-0 (W-L-D),Ilia Topuria vs Max Holloway
 Islam Makhachev,,https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-10/2/MAKHACHEV_ISLAM_BELT_06-01.png?itok=kOJjTHEZ,Ligero,26-1-0 (W-L-D),Islam Makhachev vs Dustin Poirier
 Belal Muhammad,"""Remember The Name""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-10/2/MUHAMMAD_BELAL_BELTMOCK.png?itok=pcTy1F4X,Peso welter,24-3-0 (W-L-D),Leon Edwards vs Belal Muhammad
 Dricus Du Plessis,"""Stillknocks""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-10/2/DU_PLESSIS_DRICUS_BELT_08-17.png?itok=9jtMOkM-,Peso medio,22-2-0 (W-L-D),Dricus Du Plessis vs Israel Adesanya
 Alex Pereira,"""Poatan""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-10/3/PEREIRA_ALEX_BELT_10-05.png?itok=icqR3UNJ,Peso semipesado,12-2-0 (W-L-D),Alex Pereira vs Khalil Rountree Jr.
 Jon Jones,"""Bones""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-11/JONES_JON_BELT_11-16.png?itok=KNBGI51u,De peso pesado,28-1-0 (W-L-D),Jon Jones vs Stipe Miocic
 Zhang Weili,"""Magnum""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-10/2/WEILI_ZHANG_BELT_04-13.png?itok=qVUxi10D,Peso de la mujer,25-3-0 (W-L-D),Zhang Weili vs Yan Xiaonan
 Valentina Shevchenko,"""Bullet""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-10/2/SHEVCHENKO_VALENTINA_BELT_03-05.png?itok=-d8Nh-IX,Women's Flyweight,24-4-1 (W-L-D),Alexa Grasso vs Valentina Shevchenko
 Julianna Peña,"""The Venezuelan Vixen""",https://dmxg5wxfqgb4u.cloudfront.net/styles/inline/s3/2024-10/3/PENA_JULIANNA_BELT_07-30.png?itok=UA-zCGjC,Gallo de las mujeres,13-5-0 (W-L-D),Raquel Pennington vs Julianna Peña
